tarefa,tecnica,input,resposta,esperado,acuracia,tokens_total,tokens_prompt,tokens_resposta,tempo_ms
classificacao_sentimento,Zero-Shot,Produto chegou antes do prazo e a qualidade superou minhas e,POSITIVO,POSITIVO,100.0,209,165,44,1532
classificacao_sentimento,Few-Shot,Produto chegou antes do prazo e a qualidade superou minhas e,POSITIVO,POSITIVO,100.0,281,238,43,1260
classificacao_sentimento,Chain-of-Thought,Produto chegou antes do prazo e a qualidade superou minhas e,POSITIVO,POSITIVO,100.0,324,252,72,1757
classificacao_sentimento,Role Prompting,Produto chegou antes do prazo e a qualidade superou minhas e,POSITIVO,POSITIVO,100.0,360,313,47,1408
classificacao_sentimento,Zero-Shot,Veio completamente quebrado dentro da caixa. Péssima embalag,NEGATIVO,NEGATIVO,100.0,222,170,52,1830
classificacao_sentimento,Few-Shot,Veio completamente quebrado dentro da caixa. Péssima embalag,NEGATIVO,NEGATIVO,100.0,294,243,51,1645
classificacao_sentimento,Chain-of-Thought,Veio completamente quebrado dentro da caixa. Péssima embalag,NEGATIVO,NEGATIVO,100.0,340,257,83,1654
classificacao_sentimento,Role Prompting,Veio completamente quebrado dentro da caixa. Péssima embalag,NEGATIVO,NEGATIVO,100.0,369,318,51,1593
classificacao_sentimento,Zero-Shot,"Entrega no prazo, produto ok, mas a embalagem estava um pouc",MISTO,MISTO,100.0,234,169,65,1645
classificacao_sentimento,Few-Shot,"Entrega no prazo, produto ok, mas a embalagem estava um pouc",MISTO,MISTO,100.0,311,242,69,1639
classificacao_sentimento,Chain-of-Thought,"Entrega no prazo, produto ok, mas a embalagem estava um pouc",MISTO,MISTO,100.0,388,256,132,1866
classificacao_sentimento,Role Prompting,"Entrega no prazo, produto ok, mas a embalagem estava um pouc",MISTO,MISTO,100.0,388,317,71,1496
classificacao_sentimento,Zero-Shot,Tudo certo com o pedido. Recebi conforme descrito.,POSITIVO,NEUTRO,0.0,220,164,56,2784
classificacao_sentimento,Few-Shot,Tudo certo com o pedido. Recebi conforme descrito.,POSITIVO,NEUTRO,0.0,335,237,98,1994
classificacao_sentimento,Chain-of-Thought,Tudo certo com o pedido. Recebi conforme descrito.,POSITIVE,NEUTRO,0.0,336,251,85,1851
classificacao_sentimento,Role Prompting,Tudo certo com o pedido. Recebi conforme descrito.,POSITIVO,NEUTRO,0.0,359,312,47,1467
classificacao_sentimento,Zero-Shot,"Adorei o produto! Já é o terceiro que compro aqui, recomendo",POSITIVO,POSITIVO,100.0,221,169,52,2279
classificacao_sentimento,Few-Shot,"Adorei o produto! Já é o terceiro que compro aqui, recomendo",POSITIVO,POSITIVO,100.0,289,242,47,3431
classificacao_sentimento,Chain-of-Thought,"Adorei o produto! Já é o terceiro que compro aqui, recomendo",POSITIVO,POSITIVO,100.0,335,256,79,1713
classificacao_sentimento,Role Prompting,"Adorei o produto! Já é o terceiro que compro aqui, recomendo",POSITIVO,POSITIVO,100.0,397,317,80,1875
classificacao_urgencia,Zero-Shot,Meu cartão foi cobrado duas vezes no mesmo pedido. Preciso d,ALTA,ALTA,100.0,223,163,60,1514
classificacao_urgencia,Few-Shot,Meu cartão foi cobrado duas vezes no mesmo pedido. Preciso d,ALTA,ALTA,100.0,268,232,36,1381
classificacao_urgencia,Chain-of-Thought,Meu cartão foi cobrado duas vezes no mesmo pedido. Preciso d,ALTA,ALTA,100.0,375,265,110,2044
classificacao_urgencia,Role Prompting,Meu cartão foi cobrado duas vezes no mesmo pedido. Preciso d,ALTA,ALTA,100.0,363,315,48,1373
classificacao_urgencia,Zero-Shot,Gostaria de saber se o produto X está disponível em azul.,BAIXA,BAIXA,100.0,201,156,45,1323
classificacao_urgencia,Few-Shot,Gostaria de saber se o produto X está disponível em azul.,BAIXA,BAIXA,100.0,276,225,51,1501
